Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 2069907	 134216	 40222	 22679	 15429	 11435	 2800	 1767	 40	 29	 
0	 208866	 50499	 11896	 8992	 4599	 4188	 1454	 626	 35	 20	 
0	 248309	 16941	 7399	 6374	 16339	 11773	 11186	 2639	 40	 24	 
0	 163519	 151751	 28151	 17205	 27566	 60718	 40097	 15082	 64	 40	 
0	 1162143	 132197	 31055	 29284	 43527	 50244	 15657	 11608	 78	 35	 
0	 663171	 226176	 28458	 36145	 22963	 10189	 15196	 15561	 74	 34	 
0	 46449	 22939	 7176	 15863	 11137	 6688	 7043	 3019	 64	 38	 
0	 45913	 6714	 8934	 2918	 2191	 744	 208	 210	 47	 51	 
0	 1399603	 149973	 39560	 77491	 33530	 40545	 9610	 10722	 41	 57	 
0	 124423	 208727	 12410	 14000	 5129	 6784	 10124	 1246	 40	 51	 
0	 1035455	 133271	 15483	 12784	 11456	 5453	 3868	 2181	 26	 41	 
0	 1108662	 86871	 48192	 4584	 7426	 9677	 5125	 4843	 30	 35	 
0	 727357	 80278	 24310	 11419	 20187	 8596	 2565	 3551	 26	 30	 
0	 88655	 15200	 737	 2098	 995	 988	 883	 1040	 34	 34	 
0	 30174	 41676	 3856	 6797	 5220	 17599	 7981	 5867	 53	 34	 
0	 144182	 19383	 2079	 7201	 7112	 4309	 4359	 3678	 60	 27	 
0	 95401	 52362	 29832	 12779	 17396	 12605	 10551	 2614	 64	 30	 
